Timestamp,[Q.1 / 10] 現在のご年齢を教えて下さい,[Q.2 / 10] 現在のご職業はなんですか？,[Q.3 / 10] 仕事でコーディングの業務経験（※）はありますか？「はい」の場合、何年の経験がありますか？,[Q.4 / 10] プログラミング技術を学ぶとき、教材は英語ではなく日本語で作られていることを望みますか？,[Q.5 / 10] プログラミング学習の教材として「本」は有効だと思いますか？,[Q.6 / 10] プログラミング学習の教材として「ネット上のテキストコンテンツ」は有効だと思いますか？,[Q.7 / 10] プログラミング学習の教材として「動画」は有効だと思いますか？,[Q.8 / 10] プログラミング学習の教材として「コンソール＋テキストコンテンツ形式」は有効だと思いますか？,[Q.9 / 10] プログラミング学習の教材として「講義形式（ライブ授業）」は有効だと思いますか？,[Q.10 / 10] 5～9の質問について、なぜそう思われるのか、ご意見をお聞かせください,book_strength,text_strength,video_strength,console_strength,live_strength,book_weakness,text_weakness,video_weakness,console_weakness,live_weakness
4/12/2022 9:59:47,41 - 45歳,その他,1年未満,やや同意する（できれば日本語がいい）,あまり同意しない,強く同意する,強く同意する,やや同意する,強く同意する,"本の学習について同意していないのは、他のコンテンツの方が好ましく思ったからです。

ネット上のテキストはコピペも可能で、最新のものから古いものまで調べることが魅力に感じます。

動画は実際のプログラミング過程がわかるので、学習内容以外のことも多く学びました。

コンソール+テキストは初学者がプログラミング学習に集中できるのでよいと思います。環境構築やトラブルなど余計なことが起きないのは安心です。

ライブ授業はリアルタイムで質問ができること、他の仲間が頑張っていることでモチベーションキープ、自分が気づかなかった疑問を他の人が質問してくれて学習率アップが良かったです。

以上、参考になれば幸いです。",,"operability, freshness","operability, easy-to-understand","operability, easy-to-understand, easy-to-start","activating, asking",others,,,,
4/12/2022 10:04:39,31 - 35歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,強く同意する（絶対に日本語がいい）,やや同意する,強く同意する,強く同意する,やや同意する,やや同意する,"進化が早いので、本よりネット上の記事や公式ドキュメントが参考になることが多いです。
Udemyなどの動画教材も講師によりますが情報をアップデートしてくれるのは助かります。
講義形式も良いのですが、インプットしたことを体系的にまとめて自分の言葉でアウトプットする習慣がないには「今日もいい話聞いたなー」で終わってしまうので注意が必要だと思っています。",,updating,updating,,,,,,,operability
4/12/2022 10:07:39,26 - 30歳,QAエンジニア,ない,やや同意する（できれば日本語がいい）,あまり同意しない,やや同意する,強く同意する,やや同意する,どちらとも言えない,動画の場合補足などの説明がありわかりやすい,,,easy-to-understand,,,,,,,
4/12/2022 10:16:25,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,やや同意する（できれば日本語がいい）,どちらとも言えない,やや同意する,あまり同意しない,やや同意する,やや同意する,"本は根幹技術を学ぶのに向いているがそれゆえに継続することが難しいほど専門的かつ堅苦しいことがある　あと物理的に本媒体はキーボードで両手が取られている状態だと読みにくい
テキストコンテンツに関しては読みやすく、実際の疑問に似た状況が多いため活用しやすいが、誤りが多い　公式ドキュメントはとっつきにくい
動画は流れていってしまうので一時停止して理解を深める必要があるが、その度に毎回手を止めるのが煩わしく内容を忘れてしまう可能性がある
コンソールは習ったことが特別に環境がなくても即座に試せるのが大きい、ただし習った気になってしまうところが危険
講義スタイルは質疑応答や細かい対応があるならば大変良し、大雑把に話して質疑もなしとなると動画と変わらなくなってしまう
あと、単にこれまでのスタイルよりも学習に必要な金額が大きくなってしまう",quality,operability,,"operability, activating",asking,"operability, activating, easy-to-understand","quality, activating, easy-to-understand",operability,practicality,"operability, price, asking"
4/12/2022 10:24:04,26 - 30歳,技術管理職（EM、PdM、PjM、PMO、スクラムマスター）,3年以上5年未満,やや同意する（できれば日本語がいい）,強く同意する,あまり同意しない,どちらとも言えない,まったく同意しない,どちらとも言えない,"ネットの記事は基本誤りや一部抜き出しで書かれたものが多く、信憑性を欠くので基本的にほぼ参照しないため
新しい言語を勉強するときは、体系だって文法や言語思想を知りたいので書籍をよく参照する",quality,,,,,,quality,,quality,
4/12/2022 10:27:10,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,3年以上5年未満,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,どちらとも言えない,強く同意する,やや同意する,"その都度途中で喋っている人に質問できるならライブ授業や動画など学習にとても有効だと思います。ただし、質問できず、ただ眺める、聞く、というのであればテキストの文章+コードにしてもらったほうが効率的かなと思います。
人の喋るスピードより文章を読むスピードのほうが早い人は特に「人が話しながら説明し終わるまでの時間」と 「説明文を自分で読む時間 + 内容を考察する時間」が同じくらいの時間になるので、説明を早めに読んで考察する時間を取れる方が良さそうと感じています。",,,,others,"activating, asking",,,activating,,asking
4/12/2022 10:29:14,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,やや同意する（できれば日本語がいい）,強く同意する,やや同意する,やや同意する,強く同意する,あまり同意しない,特にプログラミング学習においては実践的に行うのが最も効果的であるため、コンソール形式で実際に手を動かすのが有効だと思います。ライブ授業でも演習形式であれば十分良いかと思います。,,,,"operability, activating",activating,,,,,
4/12/2022 10:30:09,21 - 25歳,学生,ない,やや同意する（できれば日本語がいい）,どちらとも言えない,やや同意する,どちらとも言えない,強く同意する,あまり同意しない,コンソール+テキストコンテンツ形式にatcoderのように正誤判定が付けれるなら、プログラミング学習にとても意欲的に取り組めると感じる。(実際にそういうサービスの方がやってて楽しかった),,,,activating,,,,,,
4/12/2022 10:46:50,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,やや同意する（できれば日本語がいい）,どちらとも言えない,どちらとも言えない,強く同意する,強く同意する,やや同意する,本は隅から隅まで書いてくれているので、全てを網羅することができるが、逆に言えば広すぎて、最低限ここをわかっておけばいいというのがないため、学習に時間がかかってしまう。それに比べ動画は最低限押さえておいた方がいいことがまとめられていることが多いため、本と比べ学習にあまり時間がかからない。,quality,,"operability, easy-to-understand",,,"operability, easy-to-understand",,,,
4/12/2022 11:05:06,21 - 25歳,SE or ブリッジSE,ない,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,強く同意する,強く同意する,どちらとも言えない,動画教材などのハンズオン型の学習だと、手を動かしながら学習できるため,,,activating,activating,,,,,,
4/12/2022 11:21:57,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,強く同意する（絶対に日本語がいい）,あまり同意しない,強く同意する,あまり同意しない,まったく同意しない,あまり同意しない,ハンズオン形式の教材がもっとも適していると感じています。それも、コンソールを用意してくれるものではなく、実際に自身の使うデバイスでやることが大切だと思います。権限、プロトコルなど、初心者には重要だが気づきにくい知識まで含めて学べるのがハンズオンです。本でもよいかもしれませんが、用語をググりやすいオンライン教材のほうが効率的と思います。今は十分に良い教材が揃っていますから。YouTube頑張ってください！,,"operability, quality, easy-to-start",,operability,,operability,,operability,practicality,operability
4/12/2022 12:08:52,41 - 45歳,その他,ない,強く同意する（絶対に日本語がいい）,やや同意する,やや同意する,強く同意する,やや同意する,やや同意する,習熟度の違いです。訓練校に通っておりますが、You Tubeは他のどの形式よりも助けられました。,,,easy-to-understand,,,,,,,
4/12/2022 12:35:44,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,やや同意する（できれば日本語がいい）,どちらとも言えない,強く同意する,どちらとも言えない,強く同意する,まったく同意しない,"本、動画について
・どちらとも言えません。基礎知識を得るという段階では座学は有効だと考えますが最終的に自分でコードを書く、時にはコピペをして動きの確認をするということが大事だと考えますのでどちらとも言えないのが結論です。

コンソール＋テキストコンテンツ形式
・こちらについては非常に有効だと考えます。前述した通り「自分でコードを書く」というのが一番上達が早いと感じます。初学者だと環境構築で挫折してしまう可能性があり、メインである「コードを書く」というところまで辿り着けません。その段階で「自分には向いていない」と感じてしまう人も多いと感じますので、環境構築が不要ですぐにコードを書けて結果が見えるというのは強みだと考えます。もちろん最終的には環境構築も理解しなければいけませんが、最初の段階で学ぶ分にはコンソール＋テキストコンテンツ形式の学習は有効だと考えます。

講義形式（ライブ授業）
・こちらは全く有効だと思えません。前述した通り、自分でコードを書くというのが一番上達が早いです。集団の講義形式はあくまで考え方であったり、プログラミングの必要性、将来性などのセミナーに近い感覚になると考えます。又、初学者全員の理解度が同じということは少ないと思いますので、ちょっとしたことが理解できなかったが為に、そのまま話が進んでしまい結局理解できなかったということになり得ます。講義形式で学ぶメリットが全く感じません。ただ、集団ではなくマンツーマンであれば有効だと思います。理解できないことを一つひとつすぐに聞ける環境は大きいメリットだと考えますので希望はあると思います。",easy-to-understand,,easy-to-understand,"easy-to-start, activating, easy-to-understand",asking,"operability, activating",,"operability, activating",,activating
4/12/2022 12:50:16,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,5年以上,やや同意する（できれば日本語がいい）,強く同意する,やや同意する,強く同意する,どちらとも言えない,どちらとも言えない,"初級者には講義形式、動画、開発環境不要なコンソールテキスト
上級者にはリファレンスや辞書のような広く深く知識を反復して得れる媒体である本や公式リファレンス","dictionary, quality","dictionary, quality",easy-to-understand,"easy-to-start, easy-to-understand",easy-to-understand,,,,,
4/12/2022 13:03:08,26 - 30歳,その他,ない,やや同意する（できれば日本語がいい）,やや同意する,強く同意する,強く同意する,強く同意する,やや同意する,"基本的にUdemyなどの動画教材で勉強している初学者です。エンジニアは未経験で、平日夜と週末に勉強しています。

最も押しているのは動画教材です。
その理由は、「ローカル環境でコードを書くことによる「俺、プログラミングしてる感」を得られることが初学者にとっては良い」という理由です。

また、動画教材は、講師の方が実際にPCで操作している姿を観ながら学べることも利点です。
また音声も付いていますので、特に現場経験のない身からすると、「単語の読み方」も同時に学べることがありがたいです。（例えば「Linux」を「りなっくす」と読む、など。）

Progateのように「コンソール+テキスト形式」の教材もわかりやすく素晴らしいのですが、自分のPC上でVScodeやiTermを使用するほうが上述の「プログラミングしてる感」を得られるため、モチベーションが高く維持できます。",,,"activating, easy-to-understand",easy-to-understand,,,,,practicality,
4/12/2022 13:19:37,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,強く同意する（絶対に日本語がいい）,やや同意する,やや同意する,やや同意する,あまり同意しない,あまり同意しない,"本、ネット上のテキストコンテンツ、動画では、開発用のエディタを使って自分のペースで進められることが良いと思いました。
そのほかは、上記の条件を満たさないので、こう考えました。","activating, operability","activating, operability","activating, operability",,,,,,"practicality, operability","practicality, operability"
4/12/2022 13:41:58,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,3年以上5年未満,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,あまり同意しない,あまり同意しない,やや同意する,本の場合は1から10までの流れを説明してくれる事が多いが、ネット上のコンテンツは断片的な情報が多く、初学者には情報をうまく組み取れない可能性がある。コンソール+テキストコンテンツの場合は、あくまで実行環境が揃っているなかですぐに体験が出来ますが、実際に成長するにはエラーにぶつかる必要があると考えています。講義形式については知識がまだ薄い時(初学者)にかなり有効だと思います。,quality,,,easy-to-understand,easy-to-understand,,easy-to-understand,,practicality,
4/12/2022 13:55:58,21 - 25歳,その他,ない,どちらとも言えない（日本語でも英語でも気にしない）,どちらとも言えない,やや同意する,あまり同意しない,強く同意する,どちらとも言えない,今まで学習してきた中でコンソール＋テキストコンテンツ形式の学習が一番身に付きました。インプットよりもアウトプットの方が知識をより定着し自力でコードが書けるようになりました。,,,,activating,,,,,,
4/12/2022 13:58:46,31 - 35歳,データサイエンティスト or AIエンジニア,3年以上5年未満,どちらとも言えない（日本語でも英語でも気にしない）,やや同意する,やや同意する,あまり同意しない,やや同意する,やや同意する,あ,,,,,,,,,,
4/12/2022 16:27:42,26 - 30歳,SE or ブリッジSE,3年以上5年未満,どちらとも言えない（日本語でも英語でも気にしない）,強く同意する,強く同意する,まったく同意しない,やや同意する,まったく同意しない,"プログラムの説明は個々で違う解釈が起きやすく、勘違いが起きやすく感じる
なので動画は経験者なら問題ないが初心者にはまったくオススメできないと思う。",,,,,,,,"quality, easy-to-understand",,
4/12/2022 18:49:31,26 - 30歳,データサイエンティスト or AIエンジニア,1年以上3年未満,どちらとも言えない（日本語でも英語でも気にしない）,やや同意する,どちらとも言えない,どちらとも言えない,やや同意する,やや同意する,"書籍だとオライリーなどの比較的信頼のおける出版社によるスクリーニングを経ているため誤謬が比較的少ないと思われる。Webの情報、及びudemy などの動画コンテンツの場合、スクリーニングの甘さか誤った情報を目にすることが多いことが懸念点として考えられる。ライブの場合は、双方向的なやり取りが必要であるが、誤ったことについてはその場で確認、訂正が可能なためWeb/動画よりは有効であると考えられる。
ただし誤謬の場合は比較的、背景知識を有している場合にのみ検知が可能であると考えられるため書籍/ライブについてもこの限りではない。",quality,,,,"asking, quality, operability",,quality,quality,,
4/12/2022 18:52:46,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,やや同意する（できれば日本語がいい）,強く同意する,強く同意する,強く同意する,強く同意する,どちらとも言えない,"5〜8は知りたい領域に対して、自分がどの程度の知識を有していて、どの程度の深さの情報が欲しいかによって使い分けることでどれもが学習に有効だと思いました。
例えば設計に関して概要をざっくり学びたければQiitaなどで簡潔に書かれている記事を読むことは有効だと思います。また、概要を掴んだあと、さらに深く学びたければ本を用いて学ぶことが有効になると思います。
9に関しては基本的には有効だと思いますが、質問できるかできないか、コードを書く時間があるかないかなどイメージできない部分が多かったので、どちらとも言えないにしました。","combination, quality","combination, operability",combination,combination,,"asking, activating",,,,"asking, activating"
4/12/2022 19:00:47,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,強く同意する（絶対に日本語がいい）,強く同意する,やや同意する,強く同意する,強く同意する,どちらとも言えない,勉強する時の手段に関しては自分にあっているものを選ぶのが1番だと思うから。ただライブ授業についてはある程度レベルの高い中級者以上のエンジニアにとってはついていけるかもしれないが、初学者にとっては分からないことが多く取り残されてしまう可能性に高いと思うので、どちらとも言えないにしました。,combination,combination,combination,combination,,,,,,easy-to-understand
4/12/2022 19:14:23,26 - 30歳,その他,ない,やや同意する（できれば日本語がいい）,やや同意する,強く同意する,強く同意する,強く同意する,どちらとも言えない,本は静的であるため集中力が続きにくい反面、内容が網羅されているので詳しく知りたい時などには有効かなとおもいます。動画などは特に重要と思われる内容がピックアップされていることが多いで学ぶことが決まっているときには有効であるように感じます。,quality,,"easy-to-understand, operability",,,activating,,,,
4/12/2022 19:19:14,21 - 25歳,その他のエンジニア職種,3年以上5年未満,どちらとも言えない（日本語でも英語でも気にしない）,やや同意する,強く同意する,強く同意する,どちらとも言えない,強く同意する,動画やライブ感でコードの書き方の癖が見たいから,,,others,,others,,,,,
4/12/2022 20:14:33,21 - 25歳,SE or ブリッジSE,ない,強く同意する（絶対に日本語がいい）,やや同意する,やや同意する,どちらとも言えない,やや同意する,あまり同意しない,本:体系的に学ぶことが出来るし、復習が容易なため。,"quality, operability",,,,,,,,,
4/12/2022 20:29:54,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,あまり同意しない（できれば英語がいい）,どちらとも言えない,強く同意する,強く同意する,やや同意する,やや同意する,特になし,,,,,,,,,,
4/12/2022 20:43:30,21 - 25歳,SE or ブリッジSE,1年未満,やや同意する（できれば日本語がいい）,どちらとも言えない,やや同意する,強く同意する,強く同意する,強く同意する,"教材として手を動かしながら学習できるものであれば、本でもネットコンテンツでも講義形式でもどれでも有効だと思います。
本だとそれが中々実現しにくいと思い、5番はどちらとも言えないを選びました。",,"activating, operability, combination","activating, operability, combination","activating, operability, combination","activating, operability, combination","activating, operability",,,,
4/12/2022 20:56:51,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,やや同意する（できれば日本語がいい）,まったく同意しない,強く同意する,強く同意する,強く同意する,どちらとも言えない,動画教材の方が一緒に写経しやすいから。,,,"easy-to-understand, operability",,,,,,,
4/12/2022 23:19:29,21 - 25歳,学生,1年以上3年未満,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,やや同意する,やや同意する,あまり同意しない,"5 体系的に学べることが多いから
6 記事の数が多く、ちょっとした躓きを解決してくれるから
7 テキストよりも噛み砕いて表現されていることが多く、理解しやすい。始めるハードルが低く感じる。
8 ハンズオンで学びをアウトプットしながら行えて良い
9 個人の理解度によっては置いていかれる、理解が深まらないなどのデメリットが多いように感じる",quality,operability,easy-to-understand,activating,,,,,,easy-to-understand
4/12/2022 23:21:14,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年以上3年未満,やや同意する（できれば日本語がいい）,やや同意する,強く同意する,強く同意する,やや同意する,どちらとも言えない,自分のペースで学習でき、その中で少し外れたこと(教材ではこう言っているが、この方法でもできるのではないかと思ったこと)をすぐに試せるとより良いから,"operability, activating","operability, activating","operability, activating","operability, activating",,,,,,
4/13/2022 0:38:15,21 - 25歳,その他のエンジニア職種,1年以上3年未満,強く同意する（絶対に日本語がいい）,あまり同意しない,強く同意する,やや同意する,強く同意する,あまり同意しない,"どれも有効な学習教材だと思うが、もしこれから勉強を始めるならという視点で考えると、私の回答のような評価に至った。

ただ個人的にはそれらの教材は、利用する順番やタイミングによって有効性が変化すると思っており、学習者がどういつコンテキストかによって結果は変わると思う。

今から勉強を始めるという場合は、環境構築などがなく、本質的な学習ができる「コンソール+テキストコンテンツ形式」をおすすめする。

一通り基礎をやったら動画を見て簡単なサイトやツールを作ってみて、わからないところをネット上のテキストコンテンツで解決する。(徐々に公式ドキュメントを参照したいところ)

それでも深めたい領域や歴史などを知りたい場合は本を読む。(本は必要以上に情報量が多すぎる、全て読まないといけない気がしてモチベーション低下に繋がりやすい)

そういった流れで進んでいけば、なだらかに知識をインプットすることができ、大きな挫折をせずに生きていけるのかなと感じる。","combination, quality","combination, operability",combination,"combination, easy-to-understand",,"activating, easy-to-understand",,,,
4/13/2022 0:47:46,16 - 20歳,学生,ない,やや同意する（できれば日本語がいい）,やや同意する,強く同意する,強く同意する,やや同意する,どちらとも言えない,理由については実際に使ってそう思ったからになりますね。ちなみにライブ形式のものは経験がないのでなんともいえませんでした。そして本については辞書的な使い方をする場合が多いかもです,dictionary,,,,,,,,,
4/13/2022 0:50:03,31 - 35歳,SE or ブリッジSE,1年未満,やや同意する（できれば日本語がいい）,やや同意する,どちらとも言えない,強く同意する,どちらとも言えない,やや同意する,"5:辞書的に使うか、読み物としての活用が導入に最適だと思います。6:記事は書籍と違い精度が書き手によってかなり左右されるのので何とも言えないです。　7:プログラミングのイメージが明確にできる人は書籍や検索で何とかなると思います。ただ全くの未経験の場合挙動などが文字からイメージするのではなく可視化されるの分理解しやすいと思います。
8:動画に近しく、書籍や信頼性の低い記事に比べると断然いいと思います。",dictionary,,easy-to-understand,easy-to-understand,,,quality,,,
4/13/2022 1:08:20,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,やや同意する,やや同意する,やや同意する,自分がやった感じどれも問題なく情報を収集できるから,,,,,,,,,,
4/13/2022 1:16:09,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,ない,やや同意する（できれば日本語がいい）,どちらとも言えない,強く同意する,強く同意する,強く同意する,どちらとも言えない,ネット上である程度までの学習が完結できることで、入門の敷居が低くなると感じている。,,,,,,,,,,
4/13/2022 1:56:02,16 - 20歳,学生,ない,やや同意する（できれば日本語がいい）,強く同意する,強く同意する,強く同意する,やや同意する,やや同意する,"プログラミング学習においては、上記の質問にあった学習ツールを全て有効活用することができると考えます。なぜなら、それぞれのツールには特徴があるからです。例えば、本の情報は古くなりやすいですが、正確なことが多いため、頭の中に正しい情報のインデックスが作られるため、長期的にみて問題解決能力が上がると思います。ネット上のテキストコンテンツは、網羅的ではないものの、現状直面している問題を素早く解決するのに役立ちます。とにかく速いのが特徴。ただ、情報が古くなっていたり、検索技術が必要ということもあります。動画は、本よりも学習を早く進められること、また、手元などを見ることができるため、実際のエンジニアがどのような操作をしているのかという視覚情報が得られるため有効です。コンソールとテキストコンテンツに関しては、環境構築がいらないため、プログラミング言語の文法や開発過程の学習に特化していると言えます。ただ、環境構築の問題が発生しないため、問題解決能力が養われにかいという点が良くない。プログラミングの入り口には最適というイメージです。ライブ授業は、最新の情報を得られる点でいいと思います。以上のことから、それぞれの学習方法はそれぞれ違った面で有効であるため、全ての学習方法を横断的に使用できることがプログラミング学習において最も有効な学習法と言えると思いました。

P.Sセイト先生のYouTubeいつもみてます！とても勉強と励みになっているので、これからも頑張ってください！応援してます！","combination, quality","combination, operability","combination, easy-to-understand","combination, easy-to-understand, easy-to-understand","combination, updating",updating,updating,,practicality,
4/13/2022 6:20:10,26 - 30歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,強く同意する（絶対に日本語がいい）,どちらとも言えない,やや同意する,強く同意する,あまり同意しない,やや同意する,。,,,,,,,,,,
4/13/2022 9:36:07,21 - 25歳,ソフトウェア・エンジニア（フロントエンド、バックエンド、モバイル...など）,1年未満,やや同意する（できれば日本語がいい）,やや同意する,やや同意する,強く同意する,やや同意する,あまり同意しない,"五感のうちいくつから情報を得られるか
自分の理解に合わせてペースを変えることができるか
という2点から判断しました。",,,easy-to-understand,,,,,,,
